Title,Year,Duration,Ratting,link,,,,,,,,,,
Before Sunrise ,1995,1h 41min,8.1,https://www.imdb.com/title/tt0112471/,,,,,,,,,,
Dead Poets Society ,1989,2h 8min,8.1,https://www.imdb.com/title/tt0097165/,,,,,,,,,,
Underground ,1995,2h 47min,8.1,https://www.imdb.com/title/tt0114787/,,,,,,,,,,
La Haine ,1995,1h 38min,8.1,https://www.imdb.com/title/tt0113247/,,,,,,,,,,
Platoon ,1986,2h,8.1,https://www.imdb.com/title/tt0091763/,,,,,,,,,,
Trainspotting ,1996,1h 33min,8.1,https://www.imdb.com/title/tt0117951/,,,,,,,,,,
Fargo ,1996,1h 38min,8.1,https://www.imdb.com/title/tt0116282/,,,,,,,,,,
Prisoners ,2013,2h 33min,8.1,https://www.imdb.com/title/tt1392214/,,,,,,,,,,
The Help ,2011,2h 26min,8.1,https://www.imdb.com/title/tt1454029/,,,,,,,,,,
In the Mood for Love ,2000,1h 38min,8.1,https://www.imdb.com/title/tt0118694/,,,,,,,,,,
Spotlight ,2015,2h 9min,8.1,https://www.imdb.com/title/tt1895587/,,,,,,,,,,
Ford v Ferrari ,2019,2h 32min,8.1,https://www.imdb.com/title/tt1950186/,,,,,,,,,,
12 Years a Slave ,2013,2h 14min,8.1,https://www.imdb.com/title/tt2024544/,,,,,,,,,,
Hacksaw Ridge ,2016,2h 19min,8.1,https://www.imdb.com/title/tt2119532/,,,,,,,,,,
Inside Out ,2015,1h 35min,8.1,https://www.imdb.com/title/tt2096673/,,,,,,,,,,
Room ,2015,1h 58min,8.1,https://www.imdb.com/title/tt3170832/,,,,,,,,,,
Logan ,2017,2h 17min,8.1,https://www.imdb.com/title/tt3315342/,,,,,,,,,,
Gone Girl ,2014,2h 29min,8.1,https://www.imdb.com/title/tt2267998/,,,,,,,,,,
Wild Tales ,2014,2h 2min,8.1,https://www.imdb.com/title/tt3011894/,,,,,,,,,,
Rush ,2013,2h 3min,8.1,https://www.imdb.com/title/tt1979320/,,,,,,,,,,
The Handmaiden ,2016,2h 25min,8.1,https://www.imdb.com/title/tt4016934/,,,,,,,,,,
Portrait of a Lady on Fire ,2019,2h 2min,8.1,https://www.imdb.com/title/tt8613070/,,,,,,,,,,
All About Eve ,1950,2h 18min,8.2,https://www.imdb.com/title/tt0042192/,,,,,,,,,,
The Gold Rush ,1925,1h 35min,8.2,https://www.imdb.com/title/tt0015864/,,,,,,,,,,
